,City,lat,lon,temp,temp_max,humidity,cloudiness,wind_speed,country
125,Upernavik,72.79,-56.15,10.26,10.26,92.0,94.0,15.75,GL
126,Kharp,66.8,65.81,25.57,25.57,95.0,58.0,8.84,RU
127,Mount Isa,-20.73,139.5,77.0,77.0,50.0,0.0,9.08,AU
128,Honningsvåg,70.98,25.97,27.99,27.99,91.0,100.0,33.96,NO
129,Carbondale,37.73,-89.22,70.34,71.6,73.0,40.0,21.92,US
130,Panórama,40.59,23.03,49.89,52.0,87.0,75.0,3.36,GR
131,Makakilo City,21.35,-158.09,68.95,75.2,100.0,90.0,7.52,US
132,Tyrma,50.08,132.17,12.36,12.36,90.0,1.0,2.42,RU
133,Kawalu,-7.38,108.21,74.68,74.68,81.0,100.0,2.73,ID
134,Tateyama,34.98,139.87,47.48,48.2,93.0,75.0,23.04,JP
135,Nanortalik,60.14,-45.24,38.03,38.03,80.0,100.0,36.84,GL
136,Longyearbyen,78.22,15.64,-0.4,-0.4,70.0,75.0,14.99,SJ
137,Ojinaga,29.57,-104.42,50.68,53.6,25.0,1.0,17.22,MX
138,Kloulklubed,7.04,134.26,80.6,80.6,83.0,75.0,9.17,PW
139,Brodokalmak,55.57,62.08,46.4,46.4,39.0,20.0,15.66,RU
140,Talnakh,69.49,88.4,8.6,8.6,84.0,100.0,6.71,RU
141,Saint George,37.1,-113.58,31.89,35.6,69.0,1.0,1.28,US
142,Codrington,-38.27,141.97,71.62,71.62,55.0,100.0,19.46,AU
143,Strezhevoy,60.73,77.59,35.6,35.6,55.0,40.0,11.18,RU
144,Hilo,19.73,-155.09,62.13,68.0,82.0,90.0,6.93,US
145,Cayenne,4.93,-52.33,80.6,80.6,83.0,95.0,5.82,GF
146,Kaeo,-35.1,173.78,51.4,53.01,90.0,8.0,1.99,NZ
147,Severo-Kuril'sk,50.68,156.12,33.22,33.22,94.0,100.0,13.38,RU
148,Alcúdia,39.85,3.12,62.24,64.4,48.0,96.0,8.05,ES
149,Kununurra,-15.77,128.73,77.0,77.0,69.0,0.0,2.24,AU
150,Balod,20.73,81.2,90.84,90.84,28.0,83.0,3.96,IN
151,Marawi,8.0,124.29,69.66,69.66,77.0,86.0,1.83,PH
152,Kenora,49.82,-94.43,25.68,26.6,73.0,40.0,4.7,CA
153,Rocha,-34.48,-54.33,80.13,80.13,60.0,87.0,12.01,UY
154,Alice Springs,-23.7,133.88,80.6,80.6,26.0,0.0,10.29,AU
